asset_id,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,ticker,sector,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
273,1557,0.012484179450033743,2.5470094506798033e-05,2.5470094506798033e-05,0.002229168783170596,KMB,Consumer Staples,-0.003630800899288412,1.1735264451727179,-6.7865818217701964e-06,0.009191339603923186
482,1555,0.01240651673035692,2.5234228081567565e-05,2.5234228081567565e-05,0.002208525511824215,WMT,Consumer Staples,-0.0016859791039396277,1.2194815745784582,-6.4507552640694834e-06,0.009191675430480885
432,1562,0.011567815501979196,2.4528116363604116e-05,2.4528116363604116e-05,0.002146725890362467,TPR,Consumer Discretionary,0.0017190433577725323,2.4705310343154085,-5.89164211208398e-06,0.009192234543632872
80,1557,-0.01204837301589059,-2.4478877305623607e-05,2.4478877305623607e-05,0.0021424164375281403,CHRW,Industrials,-0.013401056796418164,1.8248265508509445,4.328066816383289e-05,0.009241406853908788
487,1556,0.012082060366033827,2.4438308362028686e-05,2.4438308362028686e-05,0.0021388658019934406,WEC,Utilities,-0.0004997917834693652,1.1651530272173007,-5.761105806931309e-06,0.009192365079938024
271,1557,0.011722956081899548,2.4371046020596514e-05,2.4371046020596514e-05,0.002132978932913958,KEY,Financials,0.010205335357329731,2.240228679888302,-5.549330369551356e-06,0.009192576855375403
389,1506,0.012325408757955215,2.4258760857197783e-05,2.4258760857197783e-05,0.002123151620298575,O,Real Estate,0.0013473696964408526,1.2259718093234142,-5.493445318711155e-06,0.009192632740426244
253,1557,0.011823678107736114,2.403453093605429e-05,2.403453093605429e-05,0.0021035267877196275,ICE,Financials,0.001697421010361902,1.241959864650649,-5.187052884757526e-06,0.009192939132860197
151,1582,-0.011460378237687968,-2.3989839762344383e-05,2.3989839762344383e-05,0.0020996153703791544,DLTR,Consumer Staples,-0.010184489935936184,2.158982064542621,4.3208779326690966e-05,0.009241334965071646
443,1559,0.011796728732324171,2.3924706196313534e-05,2.3924706196313534e-05,0.002093914813905216,TJX,Consumer Discretionary,0.008097200386729357,1.428398537682452,-5.2079733777635445e-06,0.009192918212367191
274,1558,0.011350602923938401,2.3615880807076357e-05,2.3615880807076357e-05,0.002066886099231453,KIM,Real Estate,0.012865501621757312,1.7980664583902508,-4.879409923409845e-06,0.009193246775821545
434,1556,-0.011513931028810825,-2.3472634619808223e-05,2.3472634619808223e-05,0.0020543490460657845,TGT,Consumer Staples,-0.010120410284269537,1.9030651055536887,4.2563277478991294e-05,0.009240689463223947
297,1556,0.011175380592523692,2.327722464519397e-05,2.327722464519397e-05,0.0020372465647532792,MPC,Energy,0.004524823093520444,2.1642357081043433,-4.2266740906462586e-06,0.00919389951165431
470,1557,0.011203553536625478,2.3046356605241836e-05,2.3046356605241836e-05,0.0020170407572108013,VZ,Communication Services,-0.0026314449403803944,1.2283228229826988,-4.488671579503242e-06,0.009193637514165453
270,1557,0.01129856831185643,2.302755646192865e-05,2.302755646192865e-05,0.0020153953493941283,KDP,Consumer Staples,-0.0007191209492203729,1.24128724040451,-4.258641959548797e-06,0.009193867543785407
28,1557,0.01108430469651795,2.298392678102809e-05,2.298392678102809e-05,0.0020115768349925718,AIG,Financials,0.015091376006531165,1.7330608993380243,-4.358581795488121e-06,0.009193767603949467
399,1557,0.011331765352566277,2.295869644416516e-05,2.295869644416516e-05,0.0020093686500441917,ROP,Information Technology,0.002495407422385279,1.3004888076984091,-4.365279983432762e-06,0.009193760905761522
238,1561,0.010797878136636834,2.2792337364491555e-05,2.2792337364491555e-05,0.0019948087328398637,HWM,Industrials,0.011692588235195445,2.0911297381015763,-3.996742675953461e-06,0.009194129443069002
25,1557,0.01122521636661096,2.2743442931929526e-05,2.2743442931929526e-05,0.0019905294419754727,AEE,Utilities,-0.0016065789105196796,1.1831440457406728,-3.979774888010721e-06,0.009194146410856944
283,1569,0.010754278861916844,2.2578954983828825e-05,2.2578954983828825e-05,0.0019761332881246887,LVS,Consumer Discretionary,0.0064958215076613085,2.3531376702505384,-3.5144008424642063e-06,0.00919461178490249
